expt_id_PCR,expt_date_PCR,expt_user_PCR,expt_version_PCR,expt_assay,expt_notes_PCR,expt_summary_PCR,expt_rxns_PCR,pcr_primers,pcr_primersource,pcr_targetpanel,pcr_template_vol,pcr_enzyme,pcr_product_ngul,expt_id_seqlib,expt_date_seqlib,expt_user_seqlib,expt_sub-type,expt_version_seqlib,expt_notes_seqlib,expt_summary_seqlib,expt_rxns_seqlib,pcr_product_targetmass_per_sample_ng,pcr_product_maxvol_ul,library_dnaconc_ngul,seq_platform,flowcell_targetmass_ng,flowcell_maxvol_ul,flowcell_id,flowcell_chemistry,flowcell_status,flowcell_checkpores,flowcell_runlength_hrs,flowcell_prevusage_hrs,seqlib_identifier,barcode,pcrproductadded_vol_ul,sample_id,extraction_id,pcr_identifier,swga_identifier,sample_type
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_G4,barcode31,10,01036158,DR400,PCBM046_G4,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_H4,barcode32,10,01036159,DR401,PCBM046_H4,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_A5,barcode33,10,5053930,DR402,PCBM046_A5,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_B5,barcode34,10,5053929,DR403,PCBM046_B5,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_C5,barcode35,10,5053917,DR405,PCBM046_C5,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_D5,barcode36,10,5053891,DR409,PCBM046_D5,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_E5,barcode37,10,5053937,DR412,PCBM046_E5,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_F5,barcode38,10,5053933,DR416,PCBM046_F5,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_G5,barcode39,10,5053931,DR421,PCBM046_G5,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_H5,barcode40,10,5053903,DR429,PCBM046_H5,No sWGA,Field
