location,lat,long
mzigawa health post,-13.851967,32.9026849997
chipokota mayamba urban health centre,-12.9320089996,28.6095480001
kasanka rural health centre,-11.9678840003,29.512841
sokontwe rural health centre,-12.3062599996,29.4514429997
chilonga opd urban health centre,-12.0276209996,31.33991
katandala rural health centre,-13.7164269998,32.7504719996
roan antelope referral hospital,-13.1366039998,28.3881270002
chambishi government urban health centre,-12.6379160001,28.0552049997
kamuchanga district hospital,-12.5768010003,28.2455170004
mkanda rural health centre,-13.4720689997,32.8058920003
chalabesa rural health centre,-11.3756790004,31.0134429996
isoka district hospital,-10.1624610003,32.6291880003
kafumbwe rural health centre,-14.2165089999,32.2375829998
butondo c urban health centre,-12.520124,28.2026900003
mpongwe mission hospital,-13.5106720001,28.1566470004
chimwemwe urban health centre,-12.7712290001,28.2019009999
kawama urban health centre (ndola),-12.9141099998,28.6181470001
masaiti district hospital,-13.3340809999,28.6878090002
mwense rural health centre,-10.3925770001,28.7091519997
ngwerere main rural health centre,-15.3055159998,28.3180590002
twatasha urban health centre (kitwe),-12.7569239996,28.1913509999
chinyunyu rural health centre,-15.2637150002,28.9979620001
musangu rural health centre,-10.2470560001,28.6493589996
mwense district hospital,-10.3598619996,28.6936410002
chembe rural health centre,-11.9676539996,28.7457270001
kazembe zonal rural health centre,-9.81998599995,28.761248
tamanda rural health centre,-13.4404720004,32.8823049997
chisengu health post,-13.2996989999,32.2190199999
chalata rural health centre,-13.5509890004,29.683149
chiawa rural health centre,-15.8961340003,29.0428580003
chitanda rural health centre,-14.6370540004,27.5931109996
kabompo district hospital,-13.5956790001,24.2044060002
kalabo district hospital,-14.9932389999,22.6806919996
kaoma health centre,-14.8047549998,24.7983910004
kasakalawe rural health centre,-8.79200600038,31.0828309997
katima mulilo rural health centre,-17.4713509999,24.242585
kazomba health centre,-12.1887220004,26.3766690001
kimasala health centre,-12.151426,26.3861239999
limulunga stage ii rural health centre,-15.1346300001,23.1457499998
location health post,-10.2222029998,31.1848279998
loloma mission district hospital,-13.4052229999,24.3284530001
luampa mission district hospital,-15.0570479999,24.4433620004
maheba a rural health centre,-12.3856959999,25.9297609997
malombe rural health centre,-14.6785300003,28.1887299996
mbala health centre,-8.83959299962,31.3556959996
mpulungu district hospital,-8.78560600022,31.1331669998
muchinka rural health centre,-12.9373060002,30.4400239999
mufumbwe hospital affiliated health centre,-13.1458509999,25.0335689999
mulilima rural health centre,-13.3657669997,29.9160240003
mungwi rural health centre,-10.166998,31.3645299996
musenga rural health post,-12.5963780001,27.9612220004
musofu rural health centre,-13.514023,29.0413029996
nkeyema rural health centre,-14.869777,25.3799299996
nondo rural health centre,-9.560713,31.1997370003
senga district hospital,-9.36503400002,31.2382920003
serenje hospital affiliated health centre,-13.2344829998,30.2349370004
sikongo rural health centre,-15.0350449996,22.1542679998
st dorothy rural health centre,-12.3382010004,27.0642810003
tulemane health centre,-8.8392200004,31.3554309999
zambezi district hospital affiliated health centre,-13.543667,23.1106750002
chisanga health centre,-10.2455489999,31.1958980004
kasempa health centre,-13.4586359999,25.8326930002
zambezi rural health centre,-17.4402389996,24.3773369998
chingi rural health centre,-13.0019829997,22.7264229996
njoko mission rural health centre,-17.0756330004,24.0360759997
mutaba health centre,-13.9213030003,28.6738369998
