expt_id_PCR;expt_date_PCR;expt_user_PCR;expt_version_PCR;expt_assay;expt_notes_PCR;expt_summary_PCR;expt_rxns_PCR;pcr_primers;pcr_primersource;pcr_targetpanel;pcr_enzyme;pcr_product_ngul;expt_id_seqlib;expt_date_seqlib;expt_user_seqlib;expt_sub-type;expt_version_seqlib;expt_notes_seqlib;expt_summary_seqlib;expt_rxns_seqlib;pcr_product_targetmass_per_sample_ng;pcr_product_maxvol_ul;library_dnaconc_ngul;seq_platform;flowcell_targetmass_ng;flowcell_maxvol_ul;flowcell_id;flowcell_chemistry;flowcell_status;flowcell_checkpores;flowcell_runlength_hrs;flowcell_prevusage_hrs;seqlib_identifier;barcode;pcrproductadded_vol_ul;sample_id;extraction_id;pcr_identifier;swga_identifier;sample_type
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;Mar 52;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_C2;barcode11;10;8021919;DR152;PCBM044_C2;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;Jan 97;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_D2;barcode12;10;8021920;DR153;PCBM044_D2;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;33.0;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_E2;barcode13;10;8021922;DR155;PCBM044_E2;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;May 32;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_F2;barcode14;10;8021923;DR156;PCBM044_F2;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;37.4;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_G2;barcode15;10;8021956;DR157;PCBM044_G2;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;11. Jul;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_H2;barcode16;10;8021955;DR159;PCBM044_H2;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;79.8;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_A3;barcode17;10;8021925;DR160;PCBM044_A3;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;46.0;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_B3;barcode18;10;8021926;DR161;PCBM044_B3;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;50.0;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_C3;barcode19;10;8021927;DR162;PCBM044_C3;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;May 18;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_D3;barcode20;10;8021930;DR165;PCBM044_D3;;field
