expt_id;expt_date;expt_user;expt_type;expt_sub-type;expt_version;expt_notes;expt_summary;expt_rxns;pcr_product_targetmass_per_sample_ng;pcr_product_maxvol_ul;library_dnaconc_ngul;seq_platform;flowcell_targetmass_ng;flowcell_maxvol_ul;flowcell_id;flowcell_chemistry;flowcell_status;flowcell_checkpores;flowcell_runlength_hrs;flowcell_prevusage_hrs;sample_id;extraction_id;swga_identifier;pcr_identifier;seqlib_identifier;barcode;pcrproductadded_vol_ul;;sample_type
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;01046734;DR191;;PCBM040_B10;SLMM067_B4;barcode74;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;01046726;DR192;;PCBM040_C10;SLMM067_C4;barcode75;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;01046725;DR193;;PCBM040_D10;SLMM067_D4;barcode76;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;01046720;DR194;;PCBM040_E10;SLMM067_E4;barcode77;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;01046719;DR195;;PCBM040_F10;SLMM067_F4;barcode78;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;01046678;DR196;;PCBM040_G10;SLMM067_G4;barcode79;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;01046680;DR197;;PCBM040_H10;SLMM067_H4;barcode80;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;01046677;DR198;;PCBM040_A11;SLMM067_A5;barcode81;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;01046676;DR199;;PCBM040_B11;SLMM067_B5;barcode82;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;01046674;DR200;;PCBM040_C11;SLMM067_C5;barcode83;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;01046670;DR202;;PCBM040_D11;SLMM067_D5;barcode84;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;01046681;DR203;;PCBM040_E11;SLMM067_E5;barcode85;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;01046687;DR204;;PCBM040_F11;SLMM067_F5;barcode86;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;01046703;DR205;;PCBM040_G11;SLMM067_G5;barcode87;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;01046705;DR206;;PCBM040_H11;SLMM067_H5;barcode88;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;01046689;DR207;;PCBM040_A12;SLMM067_A6;barcode89;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;01046699;DR208;;PCBM040_B12;SLMM067_B6;barcode90;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;01046718;DR209;;PCBM040_C12;SLMM067_C6;barcode91;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;01046713;DR210;;PCBM040_D12;SLMM067_D6;barcode92;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;01046717;DR211;;PCBM040_E12;SLMM067_E6;barcode93;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;01046728;DR212;;PCBM040_F12;SLMM067_F6;barcode94;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;01046739;DR213;;PCBM040_G12;SLMM067_G6;barcode95;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;NTC;NTC-d;;PCBM040_H12;SLMM067_H6;barcode96;10;;neg
