Raw Data 		Experiment - evIC50_2_plate4_08APRIL2026 (Run on LCS480 1.5.1.62)					
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510
B7	Sample 19	2	1	7	62170	37	1.12
B7	Sample 19	2	1	8	67170	37	1.13
B7	Sample 19	2	1	9	72170	37	1.13
B7	Sample 19	2	1	10	77170	36.96	1.12
B7	Sample 19	2	1	11	82170	37	1.12
B7	Sample 19	2	1	12	87180	37	1.12
B7	Sample 19	2	1	13	92170	37	1.12
B7	Sample 19	2	1	14	97170	37	1.12
B7	Sample 19	2	1	15	102180	37	1.12
B8	Sample 20	2	1	1	32170	36.96	1.04
B8	Sample 20	2	1	2	37170	36.96	1.04
B8	Sample 20	2	1	3	42170	36.96	1.04
B8	Sample 20	2	1	4	47170	37	1.04
B8	Sample 20	2	1	5	52170	36.96	1.04
B8	Sample 20	2	1	6	57170	36.96	1.03
B8	Sample 20	2	1	7	62170	37	1.03
B8	Sample 20	2	1	8	67170	37	1.03
B8	Sample 20	2	1	9	72170	37	1.03
B8	Sample 20	2	1	10	77170	36.96	1.03
B8	Sample 20	2	1	11	82170	37	1.03
B8	Sample 20	2	1	12	87180	37	1.03
B8	Sample 20	2	1	13	92170	37	1.04
B8	Sample 20	2	1	14	97170	37	1.03
B8	Sample 20	2	1	15	102180	37	1.02
B9	Sample 21	2	1	1	32170	36.96	1.45
B9	Sample 21	2	1	2	37170	36.96	1.45
B9	Sample 21	2	1	3	42170	36.96	1.45
B9	Sample 21	2	1	4	47170	37	1.45
B9	Sample 21	2	1	5	52170	36.96	1.45
B9	Sample 21	2	1	6	57170	36.96	1.44
B9	Sample 21	2	1	7	62170	37	1.44
B9	Sample 21	2	1	8	67170	37	1.45
B9	Sample 21	2	1	9	72170	37	1.44
B9	Sample 21	2	1	10	77170	36.96	1.44
B9	Sample 21	2	1	11	82170	37	1.44
B9	Sample 21	2	1	12	87180	37	1.44
B9	Sample 21	2	1	13	92170	37	1.44
B9	Sample 21	2	1	14	97170	37	1.43
B9	Sample 21	2	1	15	102180	37	1.43
B10	Sample 22	2	1	1	32170	36.96	1.39
B10	Sample 22	2	1	2	37170	36.96	1.39
B10	Sample 22	2	1	3	42170	36.96	1.38
B10	Sample 22	2	1	4	47170	37	1.39
B10	Sample 22	2	1	5	52170	36.96	1.39
B10	Sample 22	2	1	6	57170	36.96	1.38
B10	Sample 22	2	1	7	62170	37	1.38
B10	Sample 22	2	1	8	67170	37	1.38
B10	Sample 22	2	1	9	72170	37	1.38
B10	Sample 22	2	1	10	77170	36.96	1.38
B10	Sample 22	2	1	11	82170	37	1.37
B10	Sample 22	2	1	12	87180	37	1.37
B10	Sample 22	2	1	13	92170	37	1.37
B10	Sample 22	2	1	14	97170	37	1.37
B10	Sample 22	2	1	15	102180	37	1.37
B11	Sample 23	2	1	1	32170	36.96	1.44
B11	Sample 23	2	1	2	37170	36.96	1.44
B11	Sample 23	2	1	3	42170	36.96	1.43
B11	Sample 23	2	1	4	47170	37	1.42
B11	Sample 23	2	1	5	52170	36.96	1.43
B11	Sample 23	2	1	6	57170	36.96	1.42
B11	Sample 23	2	1	7	62170	37	1.42
B11	Sample 23	2	1	8	67170	37	1.42
B11	Sample 23	2	1	9	72170	37	1.41
B11	Sample 23	2	1	10	77170	36.96	1.41
B11	Sample 23	2	1	11	82170	37	1.41
B11	Sample 23	2	1	12	87180	37	1.41
B11	Sample 23	2	1	13	92170	37	1.41
B11	Sample 23	2	1	14	97170	37	1.41
B11	Sample 23	2	1	15	102180	37	1.4
B12	Sample 24	2	1	1	32170	36.96	1.32
B12	Sample 24	2	1	2	37170	36.96	1.32
B12	Sample 24	2	1	3	42170	36.96	1.31
B12	Sample 24	2	1	4	47170	37	1.33
B12	Sample 24	2	1	5	52170	36.96	1.33
B12	Sample 24	2	1	6	57170	36.96	1.32
B12	Sample 24	2	1	7	62170	37	1.33
B12	Sample 24	2	1	8	67170	37	1.33
B12	Sample 24	2	1	9	72170	37	1.33
B12	Sample 24	2	1	10	77170	36.96	1.33
B12	Sample 24	2	1	11	82170	37	1.33
B12	Sample 24	2	1	12	87180	37	1.33
B12	Sample 24	2	1	13	92170	37	1.33
B12	Sample 24	2	1	14	97170	37	1.33
B12	Sample 24	2	1	15	102180	37	1.32
C1	Sample 25	2	1	1	32170	36.96	0.98
C1	Sample 25	2	1	2	37170	36.96	0.97
C1	Sample 25	2	1	3	42170	36.96	0.96
C1	Sample 25	2	1	4	47170	37	0.97
C1	Sample 25	2	1	5	52170	36.96	0.96
C1	Sample 25	2	1	6	57170	36.96	0.97
C1	Sample 25	2	1	7	62170	37	0.96
C1	Sample 25	2	1	8	67170	37	0.96
C1	Sample 25	2	1	9	72170	37	0.97
C1	Sample 25	2	1	10	77170	36.96	0.96
C1	Sample 25	2	1	11	82170	37	0.96
C1	Sample 25	2	1	12	87180	37	0.96
C1	Sample 25	2	1	13	92170	37	0.96
C1	Sample 25	2	1	14	97170	37	0.95
C1	Sample 25	2	1	15	102180	37	0.96
C2	Sample 26	2	1	1	32170	36.96	0.96
C2	Sample 26	2	1	2	37170	36.96	0.97
C2	Sample 26	2	1	3	42170	36.96	0.97
C2	Sample 26	2	1	4	47170	37	0.96
C2	Sample 26	2	1	5	52170	36.96	0.96
C2	Sample 26	2	1	6	57170	36.96	0.96
C2	Sample 26	2	1	7	62170	37	0.96
C2	Sample 26	2	1	8	67170	37	0.96
C2	Sample 26	2	1	9	72170	37	0.96
C2	Sample 26	2	1	10	77170	36.96	0.96
C2	Sample 26	2	1	11	82170	37	0.96
C2	Sample 26	2	1	12	87180	37	0.96
C2	Sample 26	2	1	13	92170	37	0.96
C2	Sample 26	2	1	14	97170	37	0.95
C2	Sample 26	2	1	15	102180	37	0.96
C3	Sample 27	2	1	1	32170	36.96	1.02
C3	Sample 27	2	1	2	37170	36.96	1.02
C3	Sample 27	2	1	3	42170	36.96	1.01
C3	Sample 27	2	1	4	47170	37	1.02
C3	Sample 27	2	1	5	52170	36.96	1.01
C3	Sample 27	2	1	6	57170	36.96	1.02
C3	Sample 27	2	1	7	62170	37	1.01
