Raw Data 		Experiment - evIC50_3_plate1_11APRIL2026 (Run on LCS480 1.5.1.62)																							
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510																		
B6	Sample 18	2	1	9	72970	37	1.29																		
B6	Sample 18	2	1	10	77970	37	1.3																		
B6	Sample 18	2	1	11	82970	37	1.3																		
B6	Sample 18	2	1	12	87960	36.96	1.29																		
B6	Sample 18	2	1	13	92970	37	1.29																		
B6	Sample 18	2	1	14	97970	36.96	1.3																		
B6	Sample 18	2	1	15	102970	36.96	1.29																		
B7	Sample 19	2	1	1	32930	36.91	1.3																		
B7	Sample 19	2	1	2	37970	36.96	1.31																		
B7	Sample 19	2	1	3	42980	36.96	1.3																		
B7	Sample 19	2	1	4	47980	37	1.3																		
B7	Sample 19	2	1	5	52970	37	1.29																		
B7	Sample 19	2	1	6	57960	37	1.29																		
B7	Sample 19	2	1	7	62970	36.96	1.3																		
B7	Sample 19	2	1	8	67980	36.96	1.29																		
B7	Sample 19	2	1	9	72970	37	1.3																		
B7	Sample 19	2	1	10	77970	37	1.3																		
B7	Sample 19	2	1	11	82970	37	1.3																		
B7	Sample 19	2	1	12	87960	36.96	1.28																		
B7	Sample 19	2	1	13	92970	37	1.29																		
B7	Sample 19	2	1	14	97970	36.96	1.3																		
B7	Sample 19	2	1	15	102970	36.96	1.3																		
B8	Sample 20	2	1	1	32930	36.91	1.24																		
B8	Sample 20	2	1	2	37970	36.96	1.24																		
B8	Sample 20	2	1	3	42980	36.96	1.23																		
B8	Sample 20	2	1	4	47980	37	1.24																		
B8	Sample 20	2	1	5	52970	37	1.23																		
B8	Sample 20	2	1	6	57960	37	1.22																		
B8	Sample 20	2	1	7	62970	36.96	1.23																		
B8	Sample 20	2	1	8	67980	36.96	1.22																		
B8	Sample 20	2	1	9	72970	37	1.22																		
B8	Sample 20	2	1	10	77970	37	1.21																		
B8	Sample 20	2	1	11	82970	37	1.22																		
B8	Sample 20	2	1	12	87960	36.96	1.23																		
B8	Sample 20	2	1	13	92970	37	1.23																		
B8	Sample 20	2	1	14	97970	36.96	1.23																		
B8	Sample 20	2	1	15	102970	36.96	1.23																		
B9	Sample 21	2	1	1	32930	36.91	1.37																		
B9	Sample 21	2	1	2	37970	36.96	1.37																		
B9	Sample 21	2	1	3	42980	36.96	1.37																		
B9	Sample 21	2	1	4	47980	37	1.37																		
B9	Sample 21	2	1	5	52970	37	1.37																		
B9	Sample 21	2	1	6	57960	37	1.37																		
B9	Sample 21	2	1	7	62970	36.96	1.37																		
B9	Sample 21	2	1	8	67980	36.96	1.36																		
B9	Sample 21	2	1	9	72970	37	1.37																		
B9	Sample 21	2	1	10	77970	37	1.36																		
B9	Sample 21	2	1	11	82970	37	1.36																		
B9	Sample 21	2	1	12	87960	36.96	1.36																		
B9	Sample 21	2	1	13	92970	37	1.36																		
B9	Sample 21	2	1	14	97970	36.96	1.36																		
B9	Sample 21	2	1	15	102970	36.96	1.36																		
B10	Sample 22	2	1	1	32930	36.91	1.5																		
B10	Sample 22	2	1	2	37970	36.96	1.49																		
B10	Sample 22	2	1	3	42980	36.96	1.48																		
B10	Sample 22	2	1	4	47980	37	1.49																		
B10	Sample 22	2	1	5	52970	37	1.49																		
B10	Sample 22	2	1	6	57960	37	1.48																		
B10	Sample 22	2	1	7	62970	36.96	1.49																		
