Raw Data 		Experiment - evIC50_3_plate6_11APRIL2026 (Run on LCS480 1.5.1.62)																			
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510														
B11	Sample 23	2	1	3	44250	36.96	2.73														
B11	Sample 23	2	1	4	49270	37	2.72														
B11	Sample 23	2	1	5	54260	37	2.72														
B11	Sample 23	2	1	6	59250	37	2.71														
B11	Sample 23	2	1	7	64260	37	2.71														
B11	Sample 23	2	1	8	69260	37	2.72														
B11	Sample 23	2	1	9	74250	37	2.71														
B11	Sample 23	2	1	10	79260	37	2.7														
B11	Sample 23	2	1	11	84250	36.96	2.71														
B11	Sample 23	2	1	12	89260	36.91	2.71														
B11	Sample 23	2	1	13	94270	37	2.71														
B11	Sample 23	2	1	14	99250	36.96	2.71														
B11	Sample 23	2	1	15	104260	36.96	2.7														
B12	Sample 24	2	1	1	34290	36.96	2.41														
B12	Sample 24	2	1	2	39250	37	2.39														
B12	Sample 24	2	1	3	44250	36.96	2.39														
B12	Sample 24	2	1	4	49270	37	2.39														
B12	Sample 24	2	1	5	54260	37	2.38														
B12	Sample 24	2	1	6	59250	37	2.38														
B12	Sample 24	2	1	7	64260	37	2.39														
B12	Sample 24	2	1	8	69260	37	2.38														
B12	Sample 24	2	1	9	74250	37	2.39														
B12	Sample 24	2	1	10	79260	37	2.38														
B12	Sample 24	2	1	11	84250	36.96	2.38														
B12	Sample 24	2	1	12	89260	36.91	2.38														
B12	Sample 24	2	1	13	94270	37	2.38														
B12	Sample 24	2	1	14	99250	36.96	2.37														
B12	Sample 24	2	1	15	104260	36.96	2.39														
C1	Sample 25	2	1	1	34290	36.96	1.62														
C1	Sample 25	2	1	2	39250	37	1.62														
C1	Sample 25	2	1	3	44250	36.96	1.62														
C1	Sample 25	2	1	4	49270	37	1.62														
C1	Sample 25	2	1	5	54260	37	1.62														
C1	Sample 25	2	1	6	59250	37	1.62														
C1	Sample 25	2	1	7	64260	37	1.61														
C1	Sample 25	2	1	8	69260	37	1.61														
C1	Sample 25	2	1	9	74250	37	1.61														
C1	Sample 25	2	1	10	79260	37	1.61														
C1	Sample 25	2	1	11	84250	36.96	1.61														
C1	Sample 25	2	1	12	89260	36.91	1.61														
C1	Sample 25	2	1	13	94270	37	1.61														
C1	Sample 25	2	1	14	99250	36.96	1.61														
C1	Sample 25	2	1	15	104260	36.96	1.61														
C2	Sample 26	2	1	1	34290	36.96	1.77														
C2	Sample 26	2	1	2	39250	37	1.76														
C2	Sample 26	2	1	3	44250	36.96	1.77														
C2	Sample 26	2	1	4	49270	37	1.77														
C2	Sample 26	2	1	5	54260	37	1.77														
C2	Sample 26	2	1	6	59250	37	1.76														
C2	Sample 26	2	1	7	64260	37	1.76														
C2	Sample 26	2	1	8	69260	37	1.75														
C2	Sample 26	2	1	9	74250	37	1.75														
C2	Sample 26	2	1	10	79260	37	1.76														
C2	Sample 26	2	1	11	84250	36.96	1.76														
C2	Sample 26	2	1	12	89260	36.91	1.75														
C2	Sample 26	2	1	13	94270	37	1.76														
C2	Sample 26	2	1	14	99250	36.96	1.75														
C2	Sample 26	2	1	15	104260	36.96	1.74														
C3	Sample 27	2	1	1	34290	36.96	1.86														
C3	Sample 27	2	1	2	39250	37	1.86														
C3	Sample 27	2	1	3	44250	36.96	1.86														
C3	Sample 27	2	1	4	49270	37	1.85														
C3	Sample 27	2	1	5	54260	37	1.85														
C3	Sample 27	2	1	6	59250	37	1.85														
C3	Sample 27	2	1	7	64260	37	1.84														
C3	Sample 27	2	1	8	69260	37	1.85														
C3	Sample 27	2	1	9	74250	37	1.84														
C3	Sample 27	2	1	10	79260	37	1.84														
C3	Sample 27	2	1	11	84250	36.96	1.85														
C3	Sample 27	2	1	12	89260	36.91	1.84														
C3	Sample 27	2	1	13	94270	37	1.84														
C3	Sample 27	2	1	14	99250	36.96	1.84														
C3	Sample 27	2	1	15	104260	36.96	1.83														
C4	Sample 28	2	1	1	34290	36.96	1.95														
C4	Sample 28	2	1	2	39250	37	1.95														
C4	Sample 28	2	1	3	44250	36.96	1.94														
C4	Sample 28	2	1	4	49270	37	1.94														
C4	Sample 28	2	1	5	54260	37	1.94														
C4	Sample 28	2	1	6	59250	37	1.94														
C4	Sample 28	2	1	7	64260	37	1.93														
C4	Sample 28	2	1	8	69260	37	1.94														
C4	Sample 28	2	1	9	74250	37	1.93														
C4	Sample 28	2	1	10	79260	37	1.92														
C4	Sample 28	2	1	11	84250	36.96	1.93														
C4	Sample 28	2	1	12	89260	36.91	1.93														
C4	Sample 28	2	1	13	94270	37	1.92														
C4	Sample 28	2	1	14	99250	36.96	1.92														
C4	Sample 28	2	1	15	104260	36.96	1.93														
C5	Sample 29	2	1	1	34290	36.96	1.4														
C5	Sample 29	2	1	2	39250	37	1.4														
C5	Sample 29	2	1	3	44250	36.96	1.4														
C5	Sample 29	2	1	4	49270	37	1.39														
C5	Sample 29	2	1	5	54260	37	1.39														
C5	Sample 29	2	1	6	59250	37	1.39														
C5	Sample 29	2	1	7	64260	37	1.38														
C5	Sample 29	2	1	8	69260	37	1.39														
C5	Sample 29	2	1	9	74250	37	1.38														
C5	Sample 29	2	1	10	79260	37	1.38														
C5	Sample 29	2	1	11	84250	36.96	1.38														
C5	Sample 29	2	1	12	89260	36.91	1.38														
C5	Sample 29	2	1	13	94270	37	1.38														
C5	Sample 29	2	1	14	99250	36.96	1.38														
C5	Sample 29	2	1	15	104260	36.96	1.38														
C6	Sample 30	2	1	1	34290	36.96	1.58														
C6	Sample 30	2	1	2	39250	37	1.57														
C6	Sample 30	2	1	3	44250	36.96	1.57														
C6	Sample 30	2	1	4	49270	37	1.57														
C6	Sample 30	2	1	5	54260	37	1.56														
C6	Sample 30	2	1	6	59250	37	1.56														
