Raw Data 		Experiment - evIC50_plate2_07APRIL2026 (Run on LCS480 1.5.1.62)					
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510
B8	Sample 20	2	1	1	39350	36.96	0.65
B8	Sample 20	2	1	2	52350	37	0.66
B8	Sample 20	2	1	3	65340	36.96	0.66
B8	Sample 20	2	1	4	78340	36.96	0.65
B8	Sample 20	2	1	5	91340	36.96	0.64
B8	Sample 20	2	1	6	104340	37	0.65
B8	Sample 20	2	1	7	117340	37	0.65
B8	Sample 20	2	1	8	130350	37	0.65
B8	Sample 20	2	1	9	143340	37	0.65
B8	Sample 20	2	1	10	156350	36.96	0.65
B8	Sample 20	2	1	11	169340	36.91	0.65
B8	Sample 20	2	1	12	182340	37	0.65
B8	Sample 20	2	1	13	195340	37	0.65
B8	Sample 20	2	1	14	208340	36.96	0.65
B8	Sample 20	2	1	15	221360	36.96	0.65
B9	Sample 21	2	1	1	39350	36.96	0.65
B9	Sample 21	2	1	2	52350	37	0.65
B9	Sample 21	2	1	3	65340	36.96	0.65
B9	Sample 21	2	1	4	78340	36.96	0.64
B9	Sample 21	2	1	5	91340	36.96	0.64
B9	Sample 21	2	1	6	104340	37	0.65
B9	Sample 21	2	1	7	117340	37	0.65
B9	Sample 21	2	1	8	130350	37	0.65
B9	Sample 21	2	1	9	143340	37	0.65
B9	Sample 21	2	1	10	156350	36.96	0.64
B9	Sample 21	2	1	11	169340	36.91	0.64
B9	Sample 21	2	1	12	182340	37	0.64
B9	Sample 21	2	1	13	195340	37	0.64
B9	Sample 21	2	1	14	208340	36.96	0.65
B9	Sample 21	2	1	15	221360	36.96	0.64
B10	Sample 22	2	1	1	39350	36.96	0.63
B10	Sample 22	2	1	2	52350	37	0.62
B10	Sample 22	2	1	3	65340	36.96	0.63
B10	Sample 22	2	1	4	78340	36.96	0.62
B10	Sample 22	2	1	5	91340	36.96	0.62
B10	Sample 22	2	1	6	104340	37	0.62
B10	Sample 22	2	1	7	117340	37	0.62
B10	Sample 22	2	1	8	130350	37	0.62
B10	Sample 22	2	1	9	143340	37	0.62
B10	Sample 22	2	1	10	156350	36.96	0.62
B10	Sample 22	2	1	11	169340	36.91	0.62
B10	Sample 22	2	1	12	182340	37	0.62
B10	Sample 22	2	1	13	195340	37	0.62
B10	Sample 22	2	1	14	208340	36.96	0.62
B10	Sample 22	2	1	15	221360	36.96	0.62
B11	Sample 23	2	1	1	39350	36.96	0.68
B11	Sample 23	2	1	2	52350	37	0.68
B11	Sample 23	2	1	3	65340	36.96	0.68
B11	Sample 23	2	1	4	78340	36.96	0.67
B11	Sample 23	2	1	5	91340	36.96	0.67
B11	Sample 23	2	1	6	104340	37	0.67
B11	Sample 23	2	1	7	117340	37	0.69
B11	Sample 23	2	1	8	130350	37	0.68
B11	Sample 23	2	1	9	143340	37	0.67
B11	Sample 23	2	1	10	156350	36.96	0.67
B11	Sample 23	2	1	11	169340	36.91	0.67
B11	Sample 23	2	1	12	182340	37	0.67
B11	Sample 23	2	1	13	195340	37	0.67
B11	Sample 23	2	1	14	208340	36.96	0.68
B11	Sample 23	2	1	15	221360	36.96	0.67
B12	Sample 24	2	1	1	39350	36.96	0.5
B12	Sample 24	2	1	2	52350	37	0.5
B12	Sample 24	2	1	3	65340	36.96	0.5
B12	Sample 24	2	1	4	78340	36.96	0.5
B12	Sample 24	2	1	5	91340	36.96	0.5
B12	Sample 24	2	1	6	104340	37	0.5
B12	Sample 24	2	1	7	117340	37	0.51
B12	Sample 24	2	1	8	130350	37	0.51
B12	Sample 24	2	1	9	143340	37	0.51
B12	Sample 24	2	1	10	156350	36.96	0.51
B12	Sample 24	2	1	11	169340	36.91	0.51
B12	Sample 24	2	1	12	182340	37	0.5
B12	Sample 24	2	1	13	195340	37	0.51
B12	Sample 24	2	1	14	208340	36.96	0.51
B12	Sample 24	2	1	15	221360	36.96	0.5
C1	Sample 25	2	1	1	39350	36.96	0.54
C1	Sample 25	2	1	2	52350	37	0.54
C1	Sample 25	2	1	3	65340	36.96	0.54
C1	Sample 25	2	1	4	78340	36.96	0.53
C1	Sample 25	2	1	5	91340	36.96	0.53
C1	Sample 25	2	1	6	104340	37	0.54
C1	Sample 25	2	1	7	117340	37	0.53
C1	Sample 25	2	1	8	130350	37	0.53
C1	Sample 25	2	1	9	143340	37	0.53
C1	Sample 25	2	1	10	156350	36.96	0.53
C1	Sample 25	2	1	11	169340	36.91	0.53
C1	Sample 25	2	1	12	182340	37	0.53
C1	Sample 25	2	1	13	195340	37	0.53
C1	Sample 25	2	1	14	208340	36.96	0.53
C1	Sample 25	2	1	15	221360	36.96	0.53
C2	Sample 26	2	1	1	39350	36.96	0.57
C2	Sample 26	2	1	2	52350	37	0.57
C2	Sample 26	2	1	3	65340	36.96	0.57
C2	Sample 26	2	1	4	78340	36.96	0.56
C2	Sample 26	2	1	5	91340	36.96	0.57
C2	Sample 26	2	1	6	104340	37	0.56
C2	Sample 26	2	1	7	117340	37	0.56
C2	Sample 26	2	1	8	130350	37	0.56
C2	Sample 26	2	1	9	143340	37	0.57
C2	Sample 26	2	1	10	156350	36.96	0.56
C2	Sample 26	2	1	11	169340	36.91	0.57
C2	Sample 26	2	1	12	182340	37	0.56
C2	Sample 26	2	1	13	195340	37	0.56
C2	Sample 26	2	1	14	208340	36.96	0.56
C2	Sample 26	2	1	15	221360	36.96	0.56
C3	Sample 27	2	1	1	39350	36.96	0.57
C3	Sample 27	2	1	2	52350	37	0.57
C3	Sample 27	2	1	3	65340	36.96	0.57
C3	Sample 27	2	1	4	78340	36.96	0.56
C3	Sample 27	2	1	5	91340	36.96	0.56
C3	Sample 27	2	1	6	104340	37	0.57
C3	Sample 27	2	1	7	117340	37	0.57
C3	Sample 27	2	1	8	130350	37	0.57
C3	Sample 27	2	1	9	143340	37	0.57
C3	Sample 27	2	1	10	156350	36.96	0.56
C3	Sample 27	2	1	11	169340	36.91	0.57
C3	Sample 27	2	1	12	182340	37	0.57
C3	Sample 27	2	1	13	195340	37	0.56
C3	Sample 27	2	1	14	208340	36.96	0.57
C3	Sample 27	2	1	15	221360	36.96	0.56
C4	Sample 28	2	1	1	39350	36.96	0.59
C4	Sample 28	2	1	2	52350	37	0.6
C4	Sample 28	2	1	3	65340	36.96	0.6
C4	Sample 28	2	1	4	78340	36.96	0.6
C4	Sample 28	2	1	5	91340	36.96	0.59
C4	Sample 28	2	1	6	104340	37	0.6
C4	Sample 28	2	1	7	117340	37	0.59
C4	Sample 28	2	1	8	130350	37	0.6
C4	Sample 28	2	1	9	143340	37	0.59
C4	Sample 28	2	1	10	156350	36.96	0.59
C4	Sample 28	2	1	11	169340	36.91	0.6
C4	Sample 28	2	1	12	182340	37	0.59
C4	Sample 28	2	1	13	195340	37	0.58
C4	Sample 28	2	1	14	208340	36.96	0.6
C4	Sample 28	2	1	15	221360	36.96	0.59
C5	Sample 29	2	1	1	39350	36.96	0.64
C5	Sample 29	2	1	2	52350	37	0.64
C5	Sample 29	2	1	3	65340	36.96	0.65
C5	Sample 29	2	1	4	78340	36.96	0.64
C5	Sample 29	2	1	5	91340	36.96	0.64
C5	Sample 29	2	1	6	104340	37	0.64
C5	Sample 29	2	1	7	117340	37	0.64
C5	Sample 29	2	1	8	130350	37	0.64
C5	Sample 29	2	1	9	143340	37	0.64
C5	Sample 29	2	1	10	156350	36.96	0.64
C5	Sample 29	2	1	11	169340	36.91	0.64
C5	Sample 29	2	1	12	182340	37	0.64
C5	Sample 29	2	1	13	195340	37	0.63
C5	Sample 29	2	1	14	208340	36.96	0.64
C5	Sample 29	2	1	15	221360	36.96	0.64
C6	Sample 30	2	1	1	39350	36.96	0.69
C6	Sample 30	2	1	2	52350	37	0.69
C6	Sample 30	2	1	3	65340	36.96	0.69
C6	Sample 30	2	1	4	78340	36.96	0.69
C6	Sample 30	2	1	5	91340	36.96	0.69
C6	Sample 30	2	1	6	104340	37	0.68
C6	Sample 30	2	1	7	117340	37	0.69
C6	Sample 30	2	1	8	130350	37	0.69
C6	Sample 30	2	1	9	143340	37	0.69
C6	Sample 30	2	1	10	156350	36.96	0.69
C6	Sample 30	2	1	11	169340	36.91	0.69
C6	Sample 30	2	1	12	182340	37	0.69
C6	Sample 30	2	1	13	195340	37	0.68
C6	Sample 30	2	1	14	208340	36.96	0.69
C6	Sample 30	2	1	15	221360	36.96	0.69
C7	Sample 31	2	1	1	39350	36.96	0.78
C7	Sample 31	2	1	2	52350	37	0.78
C7	Sample 31	2	1	3	65340	36.96	0.78
C7	Sample 31	2	1	4	78340	36.96	0.78
C7	Sample 31	2	1	5	91340	36.96	0.77
C7	Sample 31	2	1	6	104340	37	0.77
C7	Sample 31	2	1	7	117340	37	0.77
C7	Sample 31	2	1	8	130350	37	0.77
C7	Sample 31	2	1	9	143340	37	0.76
C7	Sample 31	2	1	10	156350	36.96	0.77
C7	Sample 31	2	1	11	169340	36.91	0.76
C7	Sample 31	2	1	12	182340	37	0.76
C7	Sample 31	2	1	13	195340	37	0.76
C7	Sample 31	2	1	14	208340	36.96	0.77
C7	Sample 31	2	1	15	221360	36.96	0.76
C8	Sample 32	2	1	1	39350	36.96	0.63
C8	Sample 32	2	1	2	52350	37	0.63
C8	Sample 32	2	1	3	65340	36.96	0.64
C8	Sample 32	2	1	4	78340	36.96	0.63
C8	Sample 32	2	1	5	91340	36.96	0.63
C8	Sample 32	2	1	6	104340	37	0.63
C8	Sample 32	2	1	7	117340	37	0.63
C8	Sample 32	2	1	8	130350	37	0.63
C8	Sample 32	2	1	9	143340	37	0.63
C8	Sample 32	2	1	10	156350	36.96	0.63
C8	Sample 32	2	1	11	169340	36.91	0.63
C8	Sample 32	2	1	12	182340	37	0.63
C8	Sample 32	2	1	13	195340	37	0.63
C8	Sample 32	2	1	14	208340	36.96	0.63
C8	Sample 32	2	1	15	221360	36.96	0.63
C9	Sample 33	2	1	1	39350	36.96	0.66
C9	Sample 33	2	1	2	52350	37	0.67
C9	Sample 33	2	1	3	65340	36.96	0.67
C9	Sample 33	2	1	4	78340	36.96	0.66
C9	Sample 33	2	1	5	91340	36.96	0.66
C9	Sample 33	2	1	6	104340	37	0.67
C9	Sample 33	2	1	7	117340	37	0.67
C9	Sample 33	2	1	8	130350	37	0.67
C9	Sample 33	2	1	9	143340	37	0.67
C9	Sample 33	2	1	10	156350	36.96	0.66
C9	Sample 33	2	1	11	169340	36.91	0.66
C9	Sample 33	2	1	12	182340	37	0.66
C9	Sample 33	2	1	13	195340	37	0.66
C9	Sample 33	2	1	14	208340	36.96	0.67
C9	Sample 33	2	1	15	221360	36.96	0.66
C10	Sample 34	2	1	1	39350	36.96	0.63
C10	Sample 34	2	1	2	52350	37	0.63
