Raw Data 		Experiment - evIC50_3_plate4_11APRIL2026 (Run on LCS480 1.5.1.62)																				
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510															
B2	Sample 14	2	1	1	31610	36.91	1.45															
B2	Sample 14	2	1	2	36240	36.96	1.45															
B2	Sample 14	2	1	3	40830	37	1.46															
B2	Sample 14	2	1	4	45430	36.96	1.45															
B2	Sample 14	2	1	5	50130	37	1.45															
B2	Sample 14	2	1	6	54730	36.96	1.45															
B2	Sample 14	2	1	7	59330	36.96	1.45															
B2	Sample 14	2	1	8	63940	37	1.45															
B2	Sample 14	2	1	9	68630	37	1.45															
B2	Sample 14	2	1	10	73230	37	1.45															
B2	Sample 14	2	1	11	77830	37	1.46															
B2	Sample 14	2	1	12	82430	37	1.45															
B2	Sample 14	2	1	13	87040	37	1.45															
B2	Sample 14	2	1	14	91640	37	1.44															
B2	Sample 14	2	1	15	96240	37	1.45															
B3	Sample 15	2	1	1	31610	36.91	1.59															
B3	Sample 15	2	1	2	36240	36.96	1.59															
B3	Sample 15	2	1	3	40830	37	1.6															
B3	Sample 15	2	1	4	45430	36.96	1.59															
B3	Sample 15	2	1	5	50130	37	1.6															
B3	Sample 15	2	1	6	54730	36.96	1.59															
B3	Sample 15	2	1	7	59330	36.96	1.59															
B3	Sample 15	2	1	8	63940	37	1.59															
B3	Sample 15	2	1	9	68630	37	1.58															
B3	Sample 15	2	1	10	73230	37	1.59															
B3	Sample 15	2	1	11	77830	37	1.59															
B3	Sample 15	2	1	12	82430	37	1.6															
B3	Sample 15	2	1	13	87040	37	1.58															
B3	Sample 15	2	1	14	91640	37	1.58															
B3	Sample 15	2	1	15	96240	37	1.59															
B4	Sample 16	2	1	1	31610	36.91	1.6															
B4	Sample 16	2	1	2	36240	36.96	1.62															
B4	Sample 16	2	1	3	40830	37	1.62															
B4	Sample 16	2	1	4	45430	36.96	1.61															
B4	Sample 16	2	1	5	50130	37	1.62															
B4	Sample 16	2	1	6	54730	36.96	1.62															
B4	Sample 16	2	1	7	59330	36.96	1.6															
B4	Sample 16	2	1	8	63940	37	1.62															
B4	Sample 16	2	1	9	68630	37	1.6															
B4	Sample 16	2	1	10	73230	37	1.62															
B4	Sample 16	2	1	11	77830	37	1.6															
