pool,microsat_kbp,fluorophore,plate,well,major_peak_size,major_peak_height,minor_peak_size,minor_peak_height,n_peaks,allele_size,sample_id,extraction_id,set_type,province,district,carrier_A724E
1,-0.15,FAM,C02,D4,201.23,3797.0,,,1,201.0,8023441,Z188,representative,northwestern,kabompo,False
1,-0.15,FAM,C02,C10,207.22,5670.0,,,1,207.0,8023974,Z279,representative,northwestern,kasempa,False
1,-0.15,FAM,C02,G6,199.26,5618.0,,,1,199.0,8034013,Z231,representative,western,sesheke,False
1,-0.15,FAM,C02,F6,205.21,4974.0,,,1,205.0,8034018,Z230,clonal,western,sesheke,False
1,15.0,HEX,C01,H2,135.58,1210.0,,,1,135.0,1012426,Z018,representative,northwestern,mufumbwe,True
1,15.0,HEX,C01,D12,135.39,5275.0,,,1,135.0,1012521,Z144,clonal,northwestern,zambezi,False
1,15.0,HEX,C01,B2,141.87,5442.0,,,1,141.0,1012556,Z008,clonal,northwestern,zambezi,False
1,15.0,HEX,C01,D5,135.23,7967.0,,,1,135.0,1046675,Z058,representative,western,luampa,True
1,15.0,HEX,C01,G5,138.36,7935.0,,,1,138.0,1046677,Z061,clonal,western,luampa,False
1,15.0,HEX,C01,C5,135.34,5655.0,,,1,135.0,1046678,Z057,representative,western,luampa,True
1,15.0,HEX,C01,C2,135.54,7952.0,,,1,135.0,1046680,Z011,clonal,western,luampa,True
1,15.0,HEX,C01,A5,135.38,6711.0,,,1,135.0,1046689,Z048,representative,western,luampa,True
1,15.0,HEX,C01,E5,135.44,6269.0,,,1,135.0,1046718,Z059,representative,western,luampa,True
1,15.0,HEX,C01,F5,135.44,725.0,,,1,135.0,1046728,Z060,representative,western,luampa,False
1,15.0,HEX,C01,G4,135.47,1637.0,,,1,135.0,5053742,Z043,representative,western,sikongo,True
1,15.0,HEX,C01,H1,135.52,3547.0,,,1,135.0,5053837,Z005,representative,northwestern,solwezi,False
1,15.0,HEX,C01,D7,129.44,7940.0,,,1,129.0,8010843,Z086,representative,muchinga,shiwang'andu,False
1,15.0,HEX,C01,G3,135.42,1125.0,,,1,135.0,8019456,Z030,clonal,northwestern,kasempa,True
1,15.0,HEX,C01,A4,135.4,3494.0,,,1,135.0,8021039,Z033,clonal,northwestern,kasempa,True
1,15.0,HEX,C01,D4,135.49,894.0,,,1,135.0,8021930,Z037,representative,western,kaoma,True
1,15.0,HEX,C01,G11,135.47,7986.0,,,1,135.0,8021932,Z138,representative,western,kaoma,False
1,15.0,HEX,C01,F11,135.43,6021.0,,,1,135.0,8021934,Z137,representative,western,kaoma,True
1,15.0,HEX,C01,D3,135.25,7983.0,,,1,135.0,8021935,Z025,representative,western,kaoma,False
1,15.0,HEX,C01,E2,135.59,283.0,152.37,124.0,2,135.0,8023299,Z013,representative,northwestern,mushindano,False
1,15.0,HEX,C01,E3,135.43,5146.0,,,1,135.0,8023320,Z026,clonal,northwestern,manyinga,True
1,15.0,HEX,C01,H11,138.52,7762.0,,,1,138.0,8023334,Z140,representative,northwestern,manyinga,False
1,15.0,HEX,C01,C12,135.36,7237.0,,,1,135.0,8023345,Z143,clonal,northwestern,manyinga,False
1,15.0,HEX,C01,E12,135.49,7052.0,,,1,135.0,8023348,Z145,representative,northwestern,manyinga,True
1,15.0,HEX,C01,A12,135.46,3715.0,,,1,135.0,8023349,Z141,clonal,northwestern,manyinga,False
1,15.0,HEX,C01,C3,135.42,5354.0,,,1,135.0,8023430,Z024,clonal,northwestern,kabompo,True
1,15.0,HEX,C01,F6,135.51,1318.0,,,1,135.0,8031512,Z077,representative,muchinga,mafinga,True
1,15.0,HEX,C01,D6,129.33,479.0,,,1,129.0,8031765,Z070,clonal,northwestern,mushindano,False
1,15.0,HEX,C01,A8,132.3,5259.0,,,1,132.0,8031772,Z094,representative,northwestern,mushindano,False
1,15.0,HEX,C01,H3,135.52,1455.0,141.9,1006.0,2,135.0,8031773,Z032,clonal,northwestern,mushindano,False
1,15.0,HEX,C01,C8,135.46,3873.0,141.77,1199.0,2,135.0,8032013,Z100,clonal,northwestern,mushindano,False
1,15.0,HEX,C01,B8,135.37,7642.0,,,1,135.0,8032032,Z098,representative,northwestern,mwinilunga,False
1,15.0,HEX,C01,H9,138.52,713.0,,,1,138.0,8032265,Z115,clonal,western,senanga,False
1,15.0,HEX,C01,E9,135.34,8052.0,,,1,135.0,8032294,Z112,clonal,western,kaoma,False
1,15.0,HEX,C01,F9,135.35,4317.0,,,1,135.0,8032319,Z113,representative,western,mitete,True
1,15.0,HEX,C01,A10,138.43,1373.0,,,1,138.0,8032330,Z116,representative,western,kalabo,False
1,15.0,HEX,C01,D9,138.43,4285.0,,,1,138.0,8032335,Z111,representative,western,nalolo,False
1,15.0,HEX,C01,C4,135.46,2231.0,,,1,135.0,8032343,Z035,representative,western,shangombo,True
1,15.0,HEX,C01,G9,135.47,6676.0,,,1,135.0,8032348,Z114,clonal,western,sikongo,False
1,15.0,HEX,C01,B11,141.79,3541.0,,,1,141.0,8032526,Z127,representative,western,mongu,False
1,15.0,HEX,C01,D11,141.77,5752.0,,,1,141.0,8032527,Z131,representative,western,mongu,False
1,15.0,HEX,C01,E11,141.72,1074.0,,,1,141.0,8032541,Z132,representative,western,limulunga,False
1,15.0,HEX,C01,C11,135.32,242.0,152.21,92.0,2,135.0,8032558,Z130,representative,western,luampa,True
1,15.0,HEX,C01,B6,138.51,340.0,152.17,104.0,2,138.0,8032579,Z065,clonal,western,nalolo,False
1,15.0,HEX,C01,E6,135.42,5260.0,,,1,135.0,8032583,Z071,clonal,western,nalolo,False
1,15.0,HEX,C01,C6,135.53,8147.0,,,1,135.0,8032589,Z069,representative,western,shangombo,False
1,15.0,HEX,C01,E10,141.86,5012.0,,,1,141.0,8034000,Z121,clonal,western,sesheke,False
1,15.0,HEX,C01,B4,129.13,7886.0,,,1,129.0,8034002,Z034,clonal,western,sesheke,False
1,15.0,HEX,C01,A11,129.26,4122.0,,,1,129.0,8034003,Z125,clonal,western,sesheke,False
1,15.0,HEX,C01,F10,141.74,7995.0,,,1,141.0,8034004,Z122,clonal,western,sesheke,False
1,15.0,HEX,C01,G10,138.6,7950.0,,,1,138.0,8034007,Z123,clonal,western,sesheke,False
1,15.0,HEX,C01,H10,141.7,3811.0,,,1,141.0,8034008,Z124,representative,western,sesheke,False
1,15.0,HEX,C01,D10,135.4,6660.0,,,1,135.0,8034009,Z120,clonal,western,sesheke,True
1,15.0,HEX,C01,F7,129.3,8048.0,,,1,129.0,8034014,Z088,representative,western,sesheke,False
1,15.0,HEX,C01,F2,138.53,8063.0,,,1,138.0,8034017,Z015,representative,western,sesheke,False
1,15.0,HEX,C01,A6,129.3,7732.0,,,1,129.0,8034024,Z063,representative,western,sesheke,False
1,15.0,HEX,C01,A3,135.39,5541.0,,,1,135.0,8034025,Z020,clonal,western,sesheke,True
1,15.0,HEX,C01,H5,135.45,4712.0,,,1,135.0,8034026,Z062,representative,western,sesheke,False
1,15.0,HEX,C01,B3,135.43,7489.0,,,1,135.0,8034028,Z021,clonal,western,sesheke,True
1,15.0,HEX,C01,E4,141.72,8017.0,,,1,141.0,8034031,Z038,clonal,western,sesheke,False
1,15.0,HEX,C01,F4,135.27,7994.0,,,1,135.0,8034036,Z042,representative,western,sesheke,True
1,15.0,HEX,C01,F8,135.43,8084.0,,,1,135.0,8034039,Z104,representative,western,sesheke,False
1,15.0,HEX,C01,H8,141.58,7642.0,,,1,141.0,8034040,Z107,representative,western,sesheke,False
1,15.0,HEX,C01,G8,135.46,3243.0,,,1,135.0,8034042,Z106,representative,western,sesheke,True
1,15.0,HEX,C01,E8,135.27,7962.0,,,1,135.0,8034044,Z103,representative,western,sesheke,True
1,15.0,HEX,C01,D8,135.57,7952.0,,,1,135.0,8034045,Z102,representative,western,sesheke,True
1,15.0,HEX,C01,A9,135.37,7456.0,,,1,135.0,8034048,Z108,representative,western,sesheke,True
1,15.0,HEX,C01,C9,135.32,7280.0,,,1,135.0,8034049,Z110,representative,western,sesheke,False
1,15.0,HEX,C01,D2,135.56,7952.0,,,1,135.0,8034050,Z012,clonal,western,sesheke,False
